type_id,name,volume,packaged_volume,mass,market_group_id,icon_id,group_id,capacity
261,Gamma L,1.0,1.0,1.0,105,1139,86,0.0
262,Multifrequency L,1.0,1.0,1.0,105,1131,86,0.0
263,Cap Booster 25,1.0,1.0,2.5,139,1033,87,0.0
264,Cap Booster 50,2.0,2.0,5.0,139,1033,87,0.0
265,Heavy Defender Missile I,0.03,0.03,1000.0,,187,1158,0.0
266,Scourge Rocket,0.005,0.005,100.0,922,1350,387,0.0
267,Scourge Torpedo,0.05,0.05,1500.0,923,1346,89,0.0
269,Mjolnir Auto-Targeting Light Missile I,0.015,0.015,700.0,914,1336,394,0.0
377,Small Shield Extender I,5.0,5.0,0.0,605,1044,38,0.0
380,Small Shield Extender II,5.0,5.0,0.0,605,1044,38,0.0
393,Shield Recharger I,5.0,5.0,0.0,126,26451,39,1.0
394,Shield Recharger II,5.0,5.0,0.0,126,26451,39,1.0
399,Small Shield Booster I,5.0,5.0,0.0,609,84,40,0.0
400,Small Shield Booster II,5.0,5.0,0.0,609,84,40,0.0
405,'Micro' Remote Shield Booster,2.5,2.5,0.0,603,86,41,0.0
421,'Basic' Capacitor Recharger,5.0,5.0,1.0,665,26457,43,0.0
434,5MN Microwarpdrive I,10.0,10.0,0.0,131,10149,46,0.0
438,1MN Afterburner II,5.0,5.0,0.0,542,96,46,0.0
439,1MN Afterburner I,5.0,5.0,0.0,542,96,46,0.0
440,5MN Microwarpdrive II,10.0,10.0,0.0,131,10149,46,0.0
442,Cargo Scanner I,5.0,5.0,0.0,711,106,47,0.0
443,Ship Scanner I,5.0,5.0,0.0,713,107,48,0.0
444,Mining Survey Chipset I,5.0,5.0,0.0,714,2732,49,0.0
447,Warp Scrambler I,5.0,5.0,0.0,1936,3433,52,0.0
448,Warp Scrambler II,5.0,5.0,0.0,1936,3433,52,0.0
450,Gatling Pulse Laser I,5.0,5.0,500.0,570,350,53,1.0
451,Dual Light Pulse Laser I,5.0,5.0,500.0,570,350,53,1.0
452,Dual Light Beam Laser I,5.0,5.0,500.0,567,352,53,1.0
453,Small Focused Pulse Laser I,5.0,5.0,500.0,570,350,53,1.0
454,Small Focused Beam Laser I,5.0,5.0,500.0,567,352,53,1.0
455,Quad Light Beam Laser I,10.0,10.0,1000.0,568,355,53,1.0
456,Focused Medium Pulse Laser I,10.0,10.0,1000.0,572,356,53,1.0
457,Focused Medium Beam Laser I,10.0,10.0,1000.0,568,355,53,1.0
458,Heavy Pulse Laser I,25.0,25.0,1000.0,572,356,53,1.0
459,Heavy Beam Laser I,25.0,25.0,1000.0,568,355,53,1.0
460,Dual Heavy Pulse Laser I,20.0,20.0,2000.0,573,360,53,1.0
461,Dual Heavy Beam Laser I,50.0,50.0,2000.0,569,361,53,1.0
462,Mega Pulse Laser I,50.0,50.0,2000.0,573,360,53,1.0
463,Mega Beam Laser I,50.0,50.0,2000.0,569,361,53,1.0
464,Tachyon Beam Laser I,50.0,50.0,2000.0,569,361,53,1.0
482,Miner II,5.0,5.0,0.0,1039,1061,54,0.0
483,Miner I,5.0,5.0,0.0,1039,1061,54,0.0
484,125mm Gatling AutoCannon I,5.0,5.0,500.0,574,387,55,0.5
485,150mm Light AutoCannon I,5.0,5.0,500.0,574,387,55,0.4
486,200mm AutoCannon I,5.0,5.0,500.0,574,387,55,0.3
487,250mm Light Artillery Cannon I,5.0,5.0,500.0,577,389,55,0.1
488,280mm Howitzer Artillery I,5.0,5.0,500.0,577,389,55,0.05
489,Dual 180mm AutoCannon I,10.0,10.0,1000.0,575,386,55,2.5
490,220mm Vulcan AutoCannon I,10.0,10.0,1000.0,575,386,55,2.0
491,425mm AutoCannon I,10.0,10.0,1000.0,575,386,55,1.5
492,650mm Artillery Cannon I,25.0,25.0,125.0,578,384,55,0.5
493,720mm Howitzer Artillery I,25.0,25.0,50.0,578,384,55,0.25
494,Dual 425mm AutoCannon I,20.0,20.0,200.0,576,381,55,5.0
495,Dual 650mm Repeating Cannon I,50.0,50.0,2000.0,576,381,55,4.0
496,800mm Repeating Cannon I,25.0,25.0,75.0,576,381,55,3.0
497,1200mm Artillery Cannon I,50.0,50.0,2000.0,579,379,55,1.0
498,1400mm Howitzer Artillery I,50.0,50.0,2000.0,579,379,55,0.5
499,Light Missile Launcher I,5.0,5.0,0.0,640,168,509,0.6
501,Heavy Missile Launcher I,10.0,10.0,0.0,642,169,510,0.9
503,Torpedo Launcher I,20.0,20.0,0.0,644,170,508,1.5
506,'Basic' Capacitor Power Relay,5.0,5.0,20.0,667,26455,767,0.0
508,'Basic' Shield Flux Coil,5.0,5.0,20.0,687,26449,770,0.0
509,'Basic' Capacitor Flux Coil,5.0,5.0,20.0,666,26456,768,0.0
518,'Basic' Gyrostabilizer,5.0,5.0,0.0,646,26452,59,0.0
519,Gyrostabilizer II,5.0,5.0,0.0,646,26452,59,0.0
520,Gyrostabilizer I,5.0,5.0,0.0,646,26452,59,0.0
521,'Basic' Damage Control,5.0,5.0,5000.0,615,77,60,0.0
522,'Micro' Cap Battery,2.5,2.5,0.0,702,89,61,0.0
523,Small Armor Repairer I,5.0,5.0,500.0,1049,80,62,0.0
524,Small Hull Repairer I,12.5,12.5,1000.0,1053,21378,63,0.0
526,Stasis Webifier I,5.0,5.0,0.0,683,1284,65,0.0
527,Stasis Webifier II,5.0,5.0,0.0,683,1284,65,0.0
529,Small Remote Capacitor Transmitter I,5.0,5.0,1000.0,695,1035,67,0.0
530,Small Energy Nosferatu I,5.0,5.0,1000.0,692,1029,68,0.0
533,Small Energy Neutralizer I,5.0,5.0,2000.0,689,1283,71,0.0
561,75mm Gatling Rail I,5.0,5.0,500.0,564,349,74,0.5
562,Light Electron Blaster I,5.0,5.0,500.0,561,376,74,0.5
563,Light Ion Blaster I,5.0,5.0,500.0,561,376,74,0.3
564,Light Neutron Blaster I,5.0,5.0,500.0,561,376,74,0.2
565,150mm Railgun I,5.0,5.0,500.0,564,349,74,0.1
566,Heavy Electron Blaster I,10.0,10.0,2000.0,562,371,74,2.5
